TXNAME,TXNAME*GENEID
NM_001179475.1,NM_001179475.1*RRT14
NM_001179467.3,NM_001179467.3*RPI1
NM_001179465.1,NM_001179465.1*PRM5
NM_001179463.1,NM_001179463.1*NUP159
NM_001179462.3,NM_001179462.3*POR2
NM_001179457.3,NM_001179457.3*SEC24
NM_001179455.1,NM_001179455.1*PFK26
NM_001179453.1,NM_001179453.1*SLM1
NM_001179452.3,NM_001179452.3*SHQ1
NM_001184686.1,NM_001184686.1*YIL102C-A
NM_001179450.1,NM_001179450.1*YIL102C
NM_001179449.1,NM_001179449.1*XBP1
NM_001179446.3,NM_001179446.3*FMC1
NM_001179444.1,NM_001179444.1*BMT5
rna-tI(AAU)I1,rna-tI(AAU)I1*tI(AAU)I1
NM_001179442.1,NM_001179442.1*LYS12
NM_001179441.3,NM_001179441.3*RSM25
NM_001179439.1,NM_001179439.1*UTP25
NM_001179436.1,NM_001179436.1*AVT7
NM_001179435.3,NM_001179435.3*AIM19
NM_001348844.1,NM_001348844.1*YIL086C
NM_001179433.3,NM_001179433.3*KTR7
NM_001179432.1,NM_001179432.1*SDS3
NM_001179431.2,NM_001179431.2*CAB2
NM_001179429.1,NM_001179429.1*AIR1
NM_001179427.3,NM_001179427.3*YIL077C
NM_001179425.1,NM_001179425.1*RPN2
NM_001179424.1,NM_001179424.1*SER33
NM_001179423.1,NM_001179423.1*SPO22
NM_001179421.3,NM_001179421.3*PCI8
NM_001179420.1,NM_001179420.1*MAM33
NM_001179419.1,NM_001179419.1*RPS24B
NM_001179418.1,NM_001179418.1*SEC6
NM_001179417.1,NM_001179417.1*YIL067C
NM_001179416.3,NM_001179416.3*RNR3
NM_001179415.3,NM_001179415.3*FIS1
NM_001179413.1,NM_001179413.1*YRB2
NM_001179412.1,NM_001179412.1*ARC15
NM_001179411.1,NM_001179411.1*SNP1
NM_001179407.3,NM_001179407.3*RGI2
NM_001179405.1,NM_001179405.1*YIL055C
NM_001179402.1,NM_001179402.1*RPL34B
NM_001179401.3,NM_001179401.3*MMF1
NM_001179397.3,NM_001179397.3*SYG1
NM_001179394.3,NM_001179394.3*AGE2
NM_001179393.1,NM_001179393.1*CBR1
NM_001179392.1,NM_001179392.1*PKP1
NM_001179388.3,NM_001179388.3*NOT3
NM_001179387.3,NM_001179387.3*PRM2
NM_001179385.1,NM_001179385.1*CKA1
NM_001179384.3,NM_001179384.3*CAP2
NM_001179383.1,NM_001179383.1*BCY1
NM_001179380.3,NM_001179380.3*SSM4
rna-tK(CUU)I,rna-tK(CUU)I*tK(CUU)I
NM_001179379.3,NM_001179379.3*YIL029C
NM_001179377.1,NM_001179377.1*EMC5
NM_001179376.1,NM_001179376.1*IRR1
NM_001179374.3,NM_001179374.3*YIL024C
NM_001179373.1,NM_001179373.1*YKE4
NM_001179370.3,NM_001179370.3*HIS6
NM_001179367.3,NM_001179367.3*VID28
rna-tD(GUC)I1,rna-tD(GUC)I1*tD(GUC)I1
NM_001181433.3,NM_001181433.3*YIL014C-A
NM_001179363.1,NM_001179363.1*PDR11
NM_001184306.2,NM_001184306.2*EST3
rna-tD(GUC)I2,rna-tD(GUC)I2*tD(GUC)I2
NM_001179357.3,NM_001179357.3*NAS2
NM_001179354.3,NM_001179354.3*BET1
NM_001179352.3,NM_001179352.3*INP51
NM_001179523.1,NM_001179523.1*SGN1
NM_001179524.1,NM_001179524.1*MPH1
NM_001179528.3,NM_001179528.3*PAN1
NM_001179530.1,NM_001179530.1*PRI1
NM_001179533.1,NM_001179533.1*STS1
NM_001179535.3,NM_001179535.3*GAT4
NM_001179539.3,NM_001179539.3*MET28
NM_001184655.1,NM_001184655.1*YIR018C-A
NM_001179541.3,NM_001179541.3*FLO11
NR_132191.1,NR_132191.1*ICR1
NM_001270752.1,NM_001270752.1*YIR020C
NM_001179546.1,NM_001179546.1*INA22
NM_001179548.3,NM_001179548.3*YVH1
NM_001179549.3,NM_001179549.3*DAL1
NM_001179552.1,NM_001179552.1*DCG1
NM_001179553.3,NM_001179553.3*DAL7
NM_001179554.1,NM_001179554.1*DAL3
NM_001179556.3,NM_001179556.3*LYS1
NM_001179557.3,NM_001179557.3*YIR035C
NM_001179558.3,NM_001179558.3*IRC24
NM_001179560.1,NM_001179560.1*GTT1
NM_001179561.3,NM_001179561.3*YPS6
NM_001179564.1,NM_001179564.1*YIR042C
YIR043C,YIR043C*YIR043C
NM_001181655.1,NM_001181655.1*VTH2
NM_001181652.1,NM_001181652.1*HXT9
NM_001181651.1,NM_001181651.1*YJL218W
NM_001181650.1,NM_001181650.1*REE1
NM_001181647.1,NM_001181647.1*HXT8
NM_001181646.1,NM_001181646.1*YJL213W
NM_001181643.1,NM_001181643.1*PEX2
NM_001181642.1,NM_001181642.1*CBP1
NM_001181636.1,NM_001181636.1*PRP21
NM_001181634.1,NM_001181634.1*ECM25
NM_001181631.1,NM_001181631.1*PHO90
NM_001181630.1,NM_001181630.1*UBP12
NM_001181627.1,NM_001181627.1*CDC6
NM_001181626.1,NM_001181626.1*YJL193W
NM_001181624.1,NM_001181624.1*RPS14B
NM_001181622.1,NM_001181622.1*RPL39
NM_001181619.2,NM_001181619.2*MNN5
NM_001181617.1,NM_001181617.1*GON7
NM_001181616.2,NM_001181616.2*MNN11
NM_001181614.1,NM_001181614.1*RBH1
NM_001181612.2,NM_001181612.2*PFD1
NM_001181610.1,NM_001181610.1*RPL17B
NM_001181607.1,NM_001181607.1*KRE9
NM_001181605.1,NM_001181605.1*CPS1
NM_001181600.1,NM_001181600.1*ERG20
NM_001181599.1,NM_001181599.1*QCR8
NM_001181594.1,NM_001181594.1*FMP33
NM_001181592.1,NM_001181592.1*HSP150
NM_001181582.1,NM_001181582.1*DAS1
NM_001181581.1,NM_001181581.1*RPA34
NM_001181579.1,NM_001181579.1*IDS2
NM_001181578.1,NM_001181578.1*SFH5
NM_001181577.1,NM_001181577.1*YJL144W
NM_001181576.1,NM_001181576.1*TIM17
NM_001181573.1,NM_001181573.1*RPB4
NM_001184637.1,NM_001184637.1*YJL136W-A
NM_001181567.1,NM_001181567.1*LCB3
NM_001181566.1,NM_001181566.1*MRS3
NM_001181565.1,NM_001181565.1*YJL132W
NM_001181559.1,NM_001181559.1*NIT2
NM_001181555.1,NM_001181555.1*ALB1
NM_001181551.1,NM_001181551.1*YJL118W
NM_001181550.1,NM_001181550.1*PHO86
NM_001181548.1,NM_001181548.1*ASF1
NM_001181547.2,NM_001181547.2*YJL114W
NM_001181546.3,NM_001181546.3*YJL113W
rna-tD(GUC)J1,rna-tD(GUC)J1*tD(GUC)J1
NM_001181545.2,NM_001181545.2*MDV1
NM_001181544.1,NM_001181544.1*CCT7
NM_001181539.1,NM_001181539.1*IME2
NM_001181538.1,NM_001181538.1*SET4
NM_001181537.1,NM_001181537.1*PAM16
NM_001181535.1,NM_001181535.1*MEF2
rna-tR(ACG)J,rna-tR(ACG)J*tR(ACG)J
NM_001181533.1,NM_001181533.1*LSB6
NM_001181532.1,NM_001181532.1*CHS6
NM_001181531.1,NM_001181531.1*SAP185
NM_001181530.1,NM_001181530.1*PHS1
NM_001181529.1,NM_001181529.1*MRPL49
NM_001181528.1,NM_001181528.1*BCK1
NM_001181525.1,NM_001181525.1*SRS2
NM_001181522.1,NM_001181522.1*SIP4
NM_001181521.1,NM_001181521.1*ARG3
NM_001181518.1,NM_001181518.1*EXO70
NM_001181516.1,NM_001181516.1*TAX4
NM_001181515.1,NM_001181515.1*IML2
NM_001184603.1,NM_001184603.1*YJL077W-B
NM_001270753.1,NM_001270753.1*YJL077W-A
NM_001181509.1,NM_001181509.1*NET1
NM_001181506.3,NM_001181506.3*JEM1
NM_001181504.1,NM_001181504.1*ARG2
NM_001184477.3,NM_001184477.3*COA3
NM_001181495.1,NM_001181495.1*LAS21
NM_001181494.1,NM_001181494.1*NUP82
NM_001181493.3,NM_001181493.3*BNA3
NM_001181492.1,NM_001181492.1*YHC3
NM_001181488.1,NM_001181488.1*YJL055W
NM_001181487.3,NM_001181487.3*TIM54
NM_001181486.1,NM_001181486.1*PEP8
NM_001181485.3,NM_001181485.3*TDH1
NM_001181484.1,NM_001181484.1*IRC8
NM_001181483.1,NM_001181483.1*MTR4
NM_001181482.3,NM_001181482.3*CHM7
NM_001181479.1,NM_001181479.1*AIM22
rna-tY(GUA)J1,rna-tY(GUA)J1*SUP7
rna-tR(UCU)J1,rna-tR(UCU)J1*tR(UCU)J1
rna-tD(GUC)J2,rna-tD(GUC)J2*tD(GUC)J2
NM_001181478.1,NM_001181478.1*YJL045W
NM_001181476.1,NM_001181476.1*YJL043W
NM_001181475.1,NM_001181475.1*MHP1
NM_001181474.3,NM_001181474.3*NSP1
NM_001181471.3,NM_001181471.3*IRC18
rna-tV(AAC)J,rna-tV(AAC)J*tV(AAC)J
NM_001181470.1,NM_001181470.1*SNX4
NM_001181468.3,NM_001181468.3*KAR2
NM_001181467.1,NM_001181467.1*HCA4
NM_001181464.3,NM_001181464.3*MAD2
NM_001181462.1,NM_001181462.1*YJL028W
NM_001181460.1,NM_001181460.1*RNR2
NM_001181459.1,NM_001181459.1*RRN7
NM_001181453.3,NM_001181453.3*MPS3
NM_001181450.1,NM_001181450.1*TPH3
NM_001181448.1,NM_001181448.1*CCT3
rna-tK(CUU)J,rna-tK(CUU)J*tK(CUU)J
rna-tM(CAU)J2,rna-tM(CAU)J2*EMT3
NM_001181439.3,NM_001181439.3*CYR1
NM_001181437.1,NM_001181437.1*COX16
NM_001181435.1,NM_001181435.1*PRE3
NM_001181658.1,NM_001181658.1*AVT1
NM_001181659.3,NM_001181659.3*MPP10
NM_001181662.3,NM_001181662.3*APL1
NM_001181663.1,NM_001181663.1*POL31
NM_001181664.3,NM_001181664.3*SUI2
NM_001181665.1,NM_001181665.1*MHO1
NM_001181668.3,NM_001181668.3*MET3
NM_001181671.1,NM_001181671.1*GPI14
NM_001181672.1,NM_001181672.1*TMA22
NM_001181673.3,NM_001181673.3*YJR015W
NM_001181680.1,NM_001181680.1*LSM8
NM_001181684.3,NM_001181684.3*YJR026W
NM_001181685.2,NM_001181685.2*YJR027W
NM_001181686.1,NM_001181686.1*YJR028W
NM_001181687.2,NM_001181687.2*YJR029W
NM_001181690.1,NM_001181690.1*CPR7
NM_001181692.1,NM_001181692.1*PET191
NM_001181693.1,NM_001181693.1*RAD26
NM_001181697.1,NM_001181697.1*YJR039W
NM_001181698.1,NM_001181698.1*GEF1
NM_001181700.1,NM_001181700.1*NUP85
NM_001181704.1,NM_001181704.1*TAH11
NM_001181706.1,NM_001181706.1*CYC1
NM_001181708.3,NM_001181708.3*ISY1
NM_001181709.1,NM_001181709.1*OSM1
rna-tG(GCC)J2,rna-tG(GCC)J2*SUF23
NM_001181710.1,NM_001181710.1*RAD7
NM_001181711.3,NM_001181711.3*BFA1
NM_001181712.1,NM_001181712.1*KCH1
rna-tR(CCU)J,rna-tR(CCU)J*HSX1
NM_001181713.1,NM_001181713.1*HIT1
rna-tD(GUC)J4,rna-tD(GUC)J4*tD(GUC)J4
NM_001181715.1,NM_001181715.1*CDC8
NM_001181717.3,NM_001181717.3*PTK2
NM_001181718.1,NM_001181718.1*CBF1
NM_001181719.1,NM_001181719.1*YJR061W
NM_001181721.1,NM_001181721.1*RPA12
NM_001181722.1,NM_001181722.1*CCT5
NM_001181724.1,NM_001181724.1*TOR1
NM_001181726.3,NM_001181726.3*RFC2
NM_001181732.1,NM_001181732.1*MOG1
NM_001181733.3,NM_001181733.3*HOC1
NM_001181736.3,NM_001181736.3*BNA2
NM_001181737.1,NM_001181737.1*YJR079W
NM_001181741.1,NM_001181741.1*YJR084W
NM_001181743.1,NM_001181743.1*STE18
NM_001181746.3,NM_001181746.3*BIR1
NM_001181749.3,NM_001181749.3*BUD4
NM_001181752.3,NM_001181752.3*RPL43B
NM_001181753.1,NM_001181753.1*SFC1
NM_001181754.1,NM_001181754.1*YJR096W
NM_001181755.3,NM_001181755.3*JJJ3
NM_001181757.1,NM_001181757.1*YUH1
rna-tL(UAG)J,rna-tL(UAG)J*tL(UAG)J
NM_001181759.1,NM_001181759.1*RSM26
NM_001181761.4,NM_001181761.4*URA8
NM_001181763.1,NM_001181763.1*ADO1
NM_001181764.4,NM_001181764.4*ECM27
NM_001181765.2,NM_001181765.2*LIH1
NM_001181766.1,NM_001181766.1*ABM1
NM_001181768.1,NM_001181768.1*YMR1
NM_001181770.3,NM_001181770.3*NNF1
NM_001184523.1,NM_001184523.1*YJR112W-A
NM_001181773.3,NM_001181773.3*YJR115W
NM_001181774.1,NM_001181774.1*TDA4
NM_001181775.1,NM_001181775.1*STE24
NM_001181778.1,NM_001181778.1*YJR120W
NM_001181779.3,NM_001181779.3*ATP2
NM_001181780.1,NM_001181780.1*IBA57
NM_001181781.1,NM_001181781.1*RPS5
NM_001348848.1,NM_001348848.1*YJR128W
NR_132198.1,NR_132198.1*snR3
NM_001181789.3,NM_001181789.3*MNS1
NM_001181790.2,NM_001181790.2*NMD5
NM_001181791.1,NM_001181791.1*XPT1
NM_001184382.1,NM_001184382.1*TIM8
NM_001181796.2,NM_001181796.2*IML1
NM_001181799.1,NM_001181799.1*IPA1
NM_001181800.3,NM_001181800.3*YJR142W
NM_001181802.1,NM_001181802.1*MGM101
NM_001270754.1,NM_001270754.1*YJR146W
NM_001181805.1,NM_001181805.1*HMS2
NM_001181806.1,NM_001181806.1*BAT2
NM_001181807.4,NM_001181807.4*YJR149W
NM_001184556.1,NM_001184556.1*YJR151W-A
NM_001181810.3,NM_001181810.3*DAL5
NM_001181811.3,NM_001181811.3*PGU1
NM_001181812.1,NM_001181812.1*YJR154W
NM_001181813.1,NM_001181813.1*AAD10
NM_001181816.3,NM_001181816.3*HXT16
NM_001181817.1,NM_001181817.1*SOR1
NM_001181657.1,NM_001181657.1*YJL225C
NM_001181656.1,NM_001181656.1*PAU1
NM_001181654.1,NM_001181654.1*IMA4
NM_001181649.1,NM_001181649.1*IMA5
NM_001181645.1,NM_001181645.1*OPT1
NM_001181641.1,NM_001181641.1*NUC1
NM_001181640.1,NM_001181640.1*LAA1
NM_001181638.1,NM_001181638.1*YJL206C
NM_001181639.1,NM_001181639.1*NCE101
NM_001181637.1,NM_001181637.1*RCY1
NM_001181633.1,NM_001181633.1*ACO2
rna-tT(AGU)J,rna-tT(AGU)J*tT(AGU)J
NM_001348846.1,NM_001348846.1*MBB1
NM_001181629.1,NM_001181629.1*ELO1
NM_001181625.1,NM_001181625.1*SOP4
NM_001181623.1,NM_001181623.1*RPS22A
NM_001181620.1,NM_001181620.1*SWE1
NM_001181618.1,NM_001181618.1*ATG36
NM_001181613.1,NM_001181613.1*ATP12
NM_001181611.1,NM_001181611.1*ATG27
NM_001181609.1,NM_001181609.1*SWI3
NM_001181606.1,NM_001181606.1*RFA3
NM_001181604.2,NM_001181604.2*TOH1
NM_001181603.1,NM_001181603.1*ASG7
NM_001181601.2,NM_001181601.2*SET2
NM_001181598.1,NM_001181598.1*HAL5
NM_001181597.2,NM_001181597.2*TPK1
NM_001181596.1,NM_001181596.1*YJL163C
NM_001181595.1,NM_001181595.1*JJJ2
rna-tE(UUC)J,rna-tE(UUC)J*tE(UUC)J
NM_001181593.1,NM_001181593.1*PIR5
NM_001181591.1,NM_001181591.1*CIS3
NM_001181590.1,NM_001181590.1*FAR1
NM_001181589.1,NM_001181589.1*SSY5
NM_001181588.1,NM_001181588.1*FBP26
NM_001181587.1,NM_001181587.1*VPS35
NM_001181586.1,NM_001181586.1*INO1
NM_001181584.1,NM_001181584.1*SNA3
NR_132193.1,NR_132193.1*snR128
NR_132194.1,NR_132194.1*snR190
NM_001181580.1,NM_001181580.1*MRX5
NM_001181574.1,NM_001181574.1*YAK1
NM_001181572.1,NM_001181572.1*YUR1
NM_001181571.1,NM_001181571.1*TIF2
NM_001181570.1,NM_001181570.1*GLG2
NM_001181569.1,NM_001181569.1*RPS21B
NM_001184636.1,NM_001184636.1*YJL133C-A
NM_001181564.1,NM_001181564.1*AIM23
NM_001181563.2,NM_001181563.2*URA2
NM_001181562.1,NM_001181562.1*TRK1
NM_001181561.2,NM_001181561.2*PBS2
NM_001184532.1,NM_001184532.1*YJL127C-B
NM_001181560.1,NM_001181560.1*SPT10
NM_001181558.1,NM_001181558.1*GCD14
NM_001181557.1,NM_001181557.1*LSM1
NM_001181556.1,NM_001181556.1*MTC1
NM_001181554.1,NM_001181554.1*RPE1
NM_001181549.1,NM_001181549.1*NCA3
rna-tA(AGC)J,rna-tA(AGC)J*tA(AGC)J
NM_001181543.1,NM_001181543.1*GZF3
NM_001181542.1,NM_001181542.1*UTP10
NM_001181541.1,NM_001181541.1*PRM10
NM_001181540.1,NM_001181540.1*YJL107C
NR_132195.1,NR_132195.1*snR37
NM_001181536.1,NM_001181536.1*GSM1
NM_001181534.1,NM_001181534.1*GSH1
NM_001181527.1,NM_001181527.1*KHA1
NM_001181526.1,NM_001181526.1*TOK1
NM_001181524.1,NM_001181524.1*GWT1
NM_001181523.1,NM_001181523.1*DPB11
NM_001181520.1,NM_001181520.1*TRL1
NM_001181517.1,NM_001181517.1*ALY2
NM_001181514.1,NM_001181514.1*ARP4
NM_001181513.1,NM_001181513.1*SCP160
NM_001181512.1,NM_001181512.1*PRY1
NM_001181511.1,NM_001181511.1*PRY3
NM_001181510.1,NM_001181510.1*ICS3
NM_001181507.1,NM_001181507.1*SMC3
NM_001181505.1,NM_001181505.1*PSF2
NM_001181503.3,NM_001181503.3*YJL070C
NM_001181502.1,NM_001181502.1*UTP18
NM_001181501.1,NM_001181501.1*YJL068C
NM_001181499.3,NM_001181499.3*MPM1
NM_001181498.1,NM_001181498.1*DLS1
NM_001181496.1,NM_001181496.1*MRPL8
NM_001181491.1,NM_001181491.1*BIT61
NM_001181490.3,NM_001181490.3*IKS1
NM_001181489.1,NM_001181489.1*ZAP1
NM_001184476.1,NM_001184476.1*YJL052C-A
NM_001181481.1,NM_001181481.1*UBX6
NM_001184635.1,NM_001184635.1*YJL047C-A
NR_132196.1,NR_132196.1*snR60
NM_001181480.3,NM_001181480.3*RTT101
NM_001181477.3,NM_001181477.3*GYP6
NM_001181473.1,NM_001181473.1*NUP192
rna-tD(GUC)J3,rna-tD(GUC)J3*tD(GUC)J3
rna-tR(UCU)J2,rna-tR(UCU)J2*tR(UCU)J2
NM_001181472.1,NM_001181472.1*LOH1
NM_001181469.1,NM_001181469.1*TAD2
NM_001181465.1,NM_001181465.1*BET4
NM_001181463.1,NM_001181463.1*VPS53
rna-tM(CAU)J1,rna-tM(CAU)J1*EMT5
NM_001181461.3,NM_001181461.3*YJL027C
NM_001181458.3,NM_001181458.3*APS3
rna-tG(GCC)J1,rna-tG(GCC)J1*tG(GCC)J1
NM_001181457.1,NM_001181457.1*PET130
NM_001181454.1,NM_001181454.1*BBC1
NM_001181447.3,NM_001181447.3*MAD3
NM_001181446.1,NM_001181446.1*VTC4
NM_001181445.2,NM_001181445.2*RPC17
rna-tW(CCA)J,rna-tW(CCA)J*tW(CCA)J
NM_001181444.3,NM_001181444.3*NOP9
NM_001181442.2,NM_001181442.2*CCT8
NM_001348847.1,NM_001348847.1*YJL007C
NM_001181440.1,NM_001181440.1*CTK2
rna-tL(UAA)J,rna-tL(UAA)J*SUP51
NM_001181438.1,NM_001181438.1*SYS1
NM_001181436.3,NM_001181436.3*OST1
NM_001181660.1,NM_001181660.1*MRX12
NM_001181661.1,NM_001181661.1*SAG1
NM_001184533.1,NM_001184533.1*LSO1
NM_001181666.1,NM_001181666.1*TDH2
NM_001181667.1,NM_001181667.1*SPC1
NM_001181669.1,NM_001181669.1*YJR011C
NM_001181670.3,NM_001181670.3*YJR012C
NM_001181674.1,NM_001181674.1*ILV3
NM_001181675.1,NM_001181675.1*ESS1
NM_001181677.3,NM_001181677.3*TES1
NM_001181679.1,NM_001181679.1*REC107
NM_001181682.3,NM_001181682.3*MDE1
NM_001181683.1,NM_001181683.1*BNA1
NM_001181688.3,NM_001181688.3*RBH2
NM_001181689.1,NM_001181689.1*GEA1
NM_001181691.3,NM_001181691.3*RAV1
NM_001181694.3,NM_001181694.3*HUL4
NM_001181699.3,NM_001181699.3*URB2
NM_001181701.1,NM_001181701.1*POL32
rna-tM(CAU)J3,rna-tM(CAU)J3*IMT3
NM_001181702.3,NM_001181702.3*VPS55
NM_001181703.1,NM_001181703.1*SSC1
rna-tS(AGA)J,rna-tS(AGA)J*tS(AGA)J
NM_001181705.3,NM_001181705.3*ANB1
NM_001181707.1,NM_001181707.1*UTR1
NM_001181714.3,NM_001181714.3*YJR056C
rna-tY(GUA)J2,rna-tY(GUA)J2*SUP4
NM_001181716.1,NM_001181716.1*APS2
NM_001181720.3,NM_001181720.3*NTA1
NM_001181723.3,NM_001181723.3*ARP3
NM_001181725.1,NM_001181725.1*YAE1
NM_001181727.1,NM_001181727.1*HAM1
NM_001181728.1,NM_001181728.1*LIA1
NM_001181730.3,NM_001181730.3*NPA3
NM_001181731.1,NM_001181731.1*OPI3
NM_001181734.1,NM_001181734.1*CDC11
NM_001181735.1,NM_001181735.1*MIR1
NM_001181738.1,NM_001181738.1*AIM24
NM_001181739.3,NM_001181739.3*EAF6
NM_001181740.1,NM_001181740.1*ACF4
NM_001181742.3,NM_001181742.3*YJR085C
NM_001181745.1,NM_001181745.1*EMC2
NM_001181747.1,NM_001181747.1*GRR1
NM_001181748.1,NM_001181748.1*JSN1
NM_001181750.1,NM_001181750.1*FIP1
NM_001181751.1,NM_001181751.1*IME1
NR_132197.1,NR_132197.1*IRT1
NM_001181756.2,NM_001181756.2*YJR098C
NM_001181758.3,NM_001181758.3*AIM25
NM_001181760.1,NM_001181760.1*VPS25
NM_001181762.1,NM_001181762.1*SOD1
NM_001181767.3,NM_001181767.3*CPA2
NM_001181769.1,NM_001181769.1*PXP2
NM_001181771.1,NM_001181771.1*RSM7
NM_001181776.3,NM_001181776.3*ILM1
NM_001181777.1,NM_001181777.1*JHD2
NM_001181782.3,NM_001181782.3*YJR124C
NM_001181783.1,NM_001181783.1*ENT3
NM_001181784.1,NM_001181784.1*VPS70
NM_001181785.3,NM_001181785.3*RSF2
NM_001181787.2,NM_001181787.2*EFM3
NM_001181788.1,NM_001181788.1*STR2
NM_001181792.3,NM_001181792.3*SGM1
NM_001181793.1,NM_001181793.1*MCM22
NM_001181794.3,NM_001181794.3*TTI2
NM_001181795.1,NM_001181795.1*MET5
NM_001181797.3,NM_001181797.3*HOM6
NM_001181798.1,NM_001181798.1*HIR3
NM_001181801.1,NM_001181801.1*PMT4
NM_001181803.3,NM_001181803.3*RPS4A
NM_001181808.4,NM_001181808.4*DAN1
NM_001181809.2,NM_001181809.2*DAN4
NM_001181814.3,NM_001181814.3*THI11
NM_001181818.1,NM_001181818.1*MPH3
NM_001181819.3,NM_001181819.3*COS5
NM_001179786.2,NM_001179786.2*MCH2
NM_001179784.1,NM_001179784.1*COS9
NM_001179782.1,NM_001179782.1*JEN1
NM_001179781.1,NM_001179781.1*URA1
NM_001179777.1,NM_001179777.1*SAC1
NR_132199.1,NR_132199.1*snR64
NM_001179775.1,NM_001179775.1*UBA1
NM_001179773.1,NM_001179773.1*CBT1
NM_001179772.1,NM_001179772.1*EMC3
NM_001179770.1,NM_001179770.1*LOS1
NM_001179769.1,NM_001179769.1*EAP1
rna-tN(GUU)K,rna-tN(GUU)K*tN(GUU)K
NM_001179761.1,NM_001179761.1*MIA40
NM_001179757.1,NM_001179757.1*DPH2
NM_001179756.1,NM_001179756.1*CNB1
rna-tL(UAA)K,rna-tL(UAA)K*tL(UAA)K
NM_001179755.1,NM_001179755.1*HYM1
NM_001179751.1,NM_001179751.1*ASH1
NM_001179750.1,NM_001179750.1*SPE1
NM_001179749.1,NM_001179749.1*LOT5
NM_001179748.1,NM_001179748.1*FAS1
NM_001179747.1,NM_001179747.1*PRS1
NM_001179746.1,NM_001179746.1*RPL17A
NM_001179741.1,NM_001179741.1*ZRT3
NM_001179739.1,NM_001179739.1*SNU114
NM_001179738.1,NM_001179738.1*EBP2
NM_001179737.1,NM_001179737.1*NNK1
NM_001179736.1,NM_001179736.1*MRPL38
NM_001179729.1,NM_001179729.1*PIR3
NM_001179726.1,NM_001179726.1*ELF1
NM_001179723.2,NM_001179723.2*APE2
NM_001179722.1,NM_001179722.1*RPS27A
NM_001179720.1,NM_001179720.1*SRP102
NM_001179716.1,NM_001179716.1*MCR1
NM_001179712.1,NM_001179712.1*AVT3
NM_001179711.1,NM_001179711.1*RPT1
NM_001179709.1,NM_001179709.1*LTV1
NM_001179708.1,NM_001179708.1*MRP8
NM_001179707.1,NM_001179707.1*SDH3
NM_001179706.1,NM_001179706.1*TGL1
NM_001179705.1,NM_001179705.1*CTK1
NM_001179703.1,NM_001179703.1*CMC1
rna-tK(CUU)K,rna-tK(CUU)K*tK(CUU)K
NM_001179693.1,NM_001179693.1*PGM1
NM_001179692.1,NM_001179692.1*YPK1
NM_001179691.1,NM_001179691.1*RRN3
NM_001179690.1,NM_001179690.1*SSH4
NM_001179687.1,NM_001179687.1*DGR2
NM_001179686.1,NM_001179686.1*OAC1
rna-tA(AGC)K1,rna-tA(AGC)K1*tA(AGC)K1
NM_001179683.1,NM_001179683.1*SBA1
NM_001179678.1,NM_001179678.1*ABF1
NM_001179675.1,NM_001179675.1*HAP4
NM_001179674.1,NM_001179674.1*SLD2
NM_001179673.1,NM_001179673.1*YKL107W
NM_001179672.1,NM_001179672.1*AAT1
NM_001179667.2,NM_001179667.2*HSL1
NM_001179664.1,NM_001179664.1*MTC2
NM_001180025.1,NM_001180025.1*CWP2
NM_001179662.1,NM_001179662.1*CWP1
NM_001179661.1,NM_001179661.1*YJU2
NM_001179660.1,NM_001179660.1*YJU3
NM_001179659.1,NM_001179659.1*MBR1
NM_001179656.1,NM_001179656.1*CUE2
NM_001179655.1,NM_001179655.1*MIF2
NM_001179654.1,NM_001179654.1*CAB3
NM_001179652.1,NM_001179652.1*SRX1
NM_001179651.1,NM_001179651.1*MDH1
NM_001179650.1,NM_001179650.1*HOT13
NM_001179647.1,NM_001179647.1*TEF4
NR_132200.1,NR_132200.1*snR38
NM_001179646.1,NM_001179646.1*VMA5
NM_001179645.1,NM_001179645.1*SMY1
NM_001179644.1,NM_001179644.1*DHR2
NM_001179643.1,NM_001179643.1*YKL077W
NM_001179639.1,NM_001179639.1*LHS1
NM_001179638.1,NM_001179638.1*STB6
rna-tW(CCA)K,rna-tW(CCA)K*tW(CCA)K
NM_001179637.1,NM_001179637.1*YKL071W
NM_001179636.1,NM_001179636.1*YKL070W
NM_001179635.1,NM_001179635.1*YKL069W
NM_001184534.1,NM_001184534.1*YKL068W-A
NM_001179634.1,NM_001179634.1*NUP100
NM_001179633.1,NM_001179633.1*YNK1
NM_001184684.1,NM_001184684.1*YKL065W-A
NM_001179630.1,NM_001179630.1*MNR2
NM_001179628.1,NM_001179628.1*MSN4
NM_001179627.1,NM_001179627.1*BLI1
NM_001179624.1,NM_001179624.1*TOA2
NM_001179617.1,NM_001179617.1*SFK1
NM_001179613.1,NM_001179613.1*ANR2
NM_001179611.1,NM_001179611.1*PRI2
NM_001270755.1,NM_001270755.1*MMO1
NM_001179609.1,NM_001179609.1*PHD1
NM_001179608.3,NM_001179608.3*SPC42
NM_001179607.1,NM_001179607.1*VPS24
NM_001179605.1,NM_001179605.1*PTM1
NR_132201.1,NR_132201.1*snR69
NM_001179604.3,NM_001179604.3*RGT1
NM_001179603.1,NM_001179603.1*AIM26
NM_001179601.3,NM_001179601.3*UGP1
NM_001179600.1,NM_001179600.1*TUL1
NM_001184335.3,NM_001184335.3*YKL033W-A
NM_001179599.1,NM_001179599.1*TTI1
rna-tV(AAC)K2,rna-tV(AAC)K2*tV(AAC)K2
